2025-06-27 20:59:06,506 INFO: 应用启动 [in D:\Projects\VocabularyTrainer\app.py:75]
2025-06-27 20:59:08,603 INFO: 应用启动 [in D:\Projects\VocabularyTrainer\app.py:75]
2025-06-27 20:59:09,081 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:02:56,198 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:04:06,634 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:04:10,659 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:05:48,887 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:07:41,817 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:08:29,871 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:08:39,997 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:14:29,329 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:14:39,702 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=4, list_id=None, date_from=2025-05-28, date_to=2025-06-27, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:22:11,430 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=None, date_to=None, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
2025-06-27 21:23:40,205 INFO: 获取错误历史记录: student_id=3, limit=50, book_id=None, list_id=None, date_from=None, date_to=None, sort_by=error_date, sort_order=desc [in D:\Projects\VocabularyTrainer\app.py:384]
